State,Population,TIN,StateCode
Uttar Pradesh,199812341,09,UP
Maharashtra,112372972,27,MH
Bihar,103804637,10,BH
West Bengal,91347736,19,WB
Madhya Pradesh,72597565,23,MP
Tamil Nadu,72138958,33,TN
Rajasthan,68621012,08,RJ
Karnataka,61130704,29,KA
Gujarat,60383628,24,GJ
Andhra Pradesh,49386799,28,AP
Odisha,41947358,21,OR
Telangana,35286757,36,TS
Kerala,33387677,32,KL
Jharkhand,32966238,20,JH
Assam,31169272,18,AS
Punjab,27704236,03,PB
Chattisgarh,25540196,22,CT
Haryana,25353081,06,HR
Jammu and Kashmir,12548926,01,JK
Uttarakhand,10116752,05,UT
Himachal Pradesh,6864602,02,HP
Tripura,3671032,16,TR
Meghalaya,2964007,17,ME
Manipur,2721756,14,MN
Nagaland,1980602,13,NL
Goa,1457723,30,GA
Arunachal Pradesh,1382611,12,AR
Mizoram,1091014,15,MI
Sikkim,607688,11,SK
